Message,EventID,SourceName,TimeCreated,Hostname,Task,Level,Keywords,Channel,ProviderGuid,@timestamp,SubjectLogonId,SubjectDomainName,SubjectUserSid,SourceHandleId,TargetHandleId,SourceProcessId,TargetProcessId,SubjectUserName,ObjectServer,HandleId,ProcessName,ProcessId,RestrictedSidCount,ObjectName,ResourceAttributes,PrivilegeList,TransactionId,AccessMask,ObjectType,AccessReason,AccessList,CommandLine,NewProcessId,TargetLogonId,TokenElevationType,NewProcessName,TargetDomainName,TargetUserName,ParentProcessName,TargetUserSid,MandatoryLabel,Service,Type,ReadOperation,ClientProcessId,ProcessCreationTime,ReturnCode,CountOfCredentialsReturned,TargetName,DisabledPrivilegeList,EnabledPrivilegeList,NewSd,OldSd,Flags,PackageSid,Schema,SchemaFriendlyName,Resource,Identity,Status,SourcePort,LayerName,SourceAddress,Protocol,LayerRTID,FilterRTID,Application,RemoteMachineID,Direction,DestPort,RemoteUserID,DestAddress,ProcessID,GrantedAccess,SourceThreadId,SourceImage,CallTrace,UtcTime,TargetProcessGUID,RuleName,SourceProcessGUID,TargetImage,ProcessGuid,Image,EventType,TargetObject,Details,Archived,Hashes,Session,ClientInfo,Signature,Company,ImageLoaded,FileVersion,Description,SignatureStatus,Product,Signed,OriginalFileName,User,ParentProcessId,IntegrityLevel,CurrentDirectory,ParentCommandLine,TerminalSessionId,ParentImage,ParentProcessGuid,LogonGuid,LogonId,Device,TargetFilename,CreationUtcTime,PipeName
"The audit log was cleared.
Subject:
	Security ID:	S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:	wardog
	Domain Name:	WORKSTATION5
	Logon ID:	0xC61D9",1102,Microsoft-Windows-Eventlog,2020-11-02T04:39:08.640Z,WORKSTATION5,104,4,0x4020000000000000,Security,{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148},2020-11-02T04:39:08.640Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An attempt was made to duplicate a handle to an object.

Subject:
	Security ID:		S-1-5-18
	Account Name:		WORKSTATION5$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Source Handle Information:
	Source Handle ID:	0x153c
	Source Process ID:	0xd18

New Handle Information:
	Target Handle ID:	0x31c4
	Target Process ID:	0x4",4690,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.158Z,WORKSTATION5,12807,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.158Z,0x3e7,WORKGROUP,S-1-5-18,0x153c,0x31c4,0xd18,0x4,WORKSTATION5$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-18
	Account Name:		WORKSTATION5$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Handle ID:		0x31c4

Process Information:
	Process ID:		0xd18
	Process Name:		C:\Windows\Sysmon.exe",4658,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.158Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.158Z,0x3e7,WORKGROUP,S-1-5-18,,,,,WORKSTATION5$,Security,0x31c4,C:\Windows\Sysmon.exe,0xd18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A handle to an object was requested.

Subject:
	Security ID:		S-1-5-18
	Account Name:		WORKSTATION5$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Object Type:		Key
	Object Name:		\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\SysmonDrv\Parameters
	Handle ID:		0x153c
	Resource Attributes:	-

Process Information:
	Process ID:		0xd18
	Process Name:		C:\Windows\Sysmon.exe

Access Request Information:
	Transaction ID:		{00000000-0000-0000-0000-000000000000}
	Accesses:		READ_CONTROL
				Query key value
				Enumerate sub-keys
				Notify about changes to keys
				
	Access Reasons:		-
	Access Mask:		0x20019
	Privileges Used for Access Check:	-
	Restricted SID Count:	0",4656,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.158Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.158Z,0x3e7,WORKGROUP,S-1-5-18,,,,,WORKSTATION5$,Security,0x153c,C:\Windows\Sysmon.exe,0xd18,0.0,\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\SysmonDrv\Parameters,-,-,{00000000-0000-0000-0000-000000000000},0x20019,Key,-,"%%1538
				%%4432
				%%4435
				%%4436
				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An attempt was made to access an object.

Subject:
	Security ID:		S-1-5-18
	Account Name:		WORKSTATION5$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Object Type:		Key
	Object Name:		\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\SysmonDrv\Parameters
	Handle ID:		0x153c
	Resource Attributes:	-

Process Information:
	Process ID:		0xd18
	Process Name:		C:\Windows\Sysmon.exe

Access Request Information:
	Accesses:		Query key value
				
	Access Mask:		0x1",4663,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.158Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.158Z,0x3e7,WORKGROUP,S-1-5-18,,,,,WORKSTATION5$,Security,0x153c,C:\Windows\Sysmon.exe,0xd18,,\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\SysmonDrv\Parameters,-,,,0x1,Key,,"%%4432
				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A new process has been created.

Creator Subject:
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x2f04
	New Process Name:	C:\Users\wardog\Desktop\Seatbelt.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		S-1-16-12288
	Creator Process ID:	0x3048
	Creator Process Name:	C:\Windows\System32\cmd.exe
	Process Command Line:	Seatbelt.exe  -group=user

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",4688,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.671Z,WORKSTATION5,13312,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.671Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,,,,0x3048,,,,,,,,,,Seatbelt.exe  -group=user,0x2f04,0x0,%%1936,C:\Users\wardog\Desktop\Seatbelt.exe,-,-,C:\Windows\System32\cmd.exe,S-1-0-0,S-1-16-12288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An attempt was made to duplicate a handle to an object.

Subject:
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Source Handle Information:
	Source Handle ID:	0xa0
	Source Process ID:	0x2f04

New Handle Information:
	Target Handle ID:	0x45c4
	Target Process ID:	0x4",4690,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.702Z,WORKSTATION5,12807,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.702Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,0xa0,0x45c4,0x2f04,0x4,wardog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Handle ID:		0x45c4

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe",4658,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0x45c4,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A handle to an object was requested.

Subject:
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Object Type:		Key
	Object Name:		\REGISTRY\MACHINE\SOFTWARE\Microsoft\.NETFramework
	Handle ID:		0xa0
	Resource Attributes:	-

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe

Access Request Information:
	Transaction ID:		{00000000-0000-0000-0000-000000000000}
	Accesses:		READ_CONTROL
				Query key value
				Enumerate sub-keys
				Notify about changes to keys
				
	Access Reasons:		-
	Access Mask:		0x20019
	Privileges Used for Access Check:	-
	Restricted SID Count:	0",4656,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0xa0,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,0.0,\REGISTRY\MACHINE\SOFTWARE\Microsoft\.NETFramework,-,-,{00000000-0000-0000-0000-000000000000},0x20019,Key,-,"%%1538
				%%4432
				%%4435
				%%4436
				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Handle ID:		0xa0

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe",4658,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0xa0,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An attempt was made to duplicate a handle to an object.

Subject:
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Source Handle Information:
	Source Handle ID:	0x9c
	Source Process ID:	0x2f04

New Handle Information:
	Target Handle ID:	0x45c4
	Target Process ID:	0x4",4690,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12807,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,0x9c,0x45c4,0x2f04,0x4,wardog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Handle ID:		0x45c4

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe",4658,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0x45c4,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A handle to an object was requested.

Subject:
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Object Type:		Key
	Object Name:		\REGISTRY\MACHINE\SOFTWARE\Microsoft\.NETFramework
	Handle ID:		0x9c
	Resource Attributes:	-

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe

Access Request Information:
	Transaction ID:		{00000000-0000-0000-0000-000000000000}
	Accesses:		READ_CONTROL
				Query key value
				Enumerate sub-keys
				Notify about changes to keys
				
	Access Reasons:		-
	Access Mask:		0x20019
	Privileges Used for Access Check:	-
	Restricted SID Count:	0",4656,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0x9c,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,0.0,\REGISTRY\MACHINE\SOFTWARE\Microsoft\.NETFramework,-,-,{00000000-0000-0000-0000-000000000000},0x20019,Key,-,"%%1538
				%%4432
				%%4435
				%%4436
				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Handle ID:		0x9c

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe",4658,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0x9c,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An attempt was made to duplicate a handle to an object.

Subject:
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Source Handle Information:
	Source Handle ID:	0x9c
	Source Process ID:	0x2f04

New Handle Information:
	Target Handle ID:	0x45c4
	Target Process ID:	0x4",4690,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12807,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,0x9c,0x45c4,0x2f04,0x4,wardog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3940915590-64593676-1414006259-500
	Account Name:		wardog
	Account Domain:		WORKSTATION5
	Logon ID:		0xC61D9

Object:
	Object Server:		Security
	Handle ID:		0x45c4

Process Information:
	Process ID:		0x2f04
	Process Name:		C:\Users\wardog\Desktop\Seatbelt.exe",4658,Microsoft-Windows-Security-Auditing,2020-11-02T04:39:11.703Z,WORKSTATION5,12801,0,0x8020000000000000,Security,{54849625-5478-4994-a5ba-3e3b0328c30d},2020-11-02T04:39:11.703Z,0xc61d9,WORKSTATION5,S-1-5-21-3940915590-64593676-1414006259-500,,,,,wardog,Security,0x45c4,C:\Users\wardog\Desktop\Seatbelt.exe,0x2f04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
